CustomerID,Gender,Age,Region,SubscriptionType,ContractType,TenureMonths,MonthlyCharges,TotalCharges,DataUsageGB,MinutesUsed,TextsSent,InternationalPlan,VoiceMailPlan,CustomerServiceCalls,PaymentMethod,Churn
818e6152-4f28-4b20-a276-a63726af83db,Male,18,West,Standard,Month-to-Month,24,74.8003092715827,1795.207422517985,37.95552399378623,280.7106496009541,54.80759400290643,0,0,0,Credit Card,False
cb5e25c1-5bb5-432a-949a-1cc05caf512b,Female,23,South,Premium,Month-to-Month,24,87.19991852993073,2092.798044718337,145.6218778317757,438.72393384776365,252.78333770226013,0,0,3,Electronic Check,True
1bbf3f08-4d26-492c-bdd8-82518d5df97b,Female,45,West,Standard,Month-to-Month,6,66.1032641132748,396.6195846796488,23.985691703104386,122.46493966693868,134.10774824856736,1,1,2,Credit Card,False
971b6921-0995-4e6b-b5b5-48573104f401,Female,22,North,Premium,Two Year,64,80.1432307030361,5129.16676499431,10.768178594115485,197.3950823158998,162.73148781565664,1,0,0,Bank Transfer,False
df4a83ec-ea5c-4d33-ad8c-39c84fc6af0d,Male,56,Central,Basic,Month-to-Month,7,43.65278746625029,305.569512263752,107.04837405322718,124.05699872706634,228.86961235540556,0,1,2,Credit Card,False
1a417b0e-bdb5-47c7-9014-d876000f25b3,Male,38,North,Premium,Month-to-Month,66,87.78430404609327,5793.764067042156,23.85054855705386,201.04138366835465,36.93991962264395,1,1,5,Credit Card,False
53e5ddae-4e91-4e1e-b875-7df991db6f51,Male,41,East,Standard,One Year,30,61.61534575008687,1848.460372502606,166.8553514250094,64.53009380476642,128.30181648300496,0,1,0,Mailed Check,False
2b5f04ac-e69d-4728-8a8d-dbe7fc4d3893,Female,35,South,Premium,Month-to-Month,78,101.20974802294405,7894.360345789636,158.11746995683828,72.80939097664356,54.14761613010476,1,0,1,Credit Card,False
454729b7-7562-457b-a047-830f0bd075ae,Female,51,North,Premium,Month-to-Month,45,85.79446180415441,3860.750781186948,76.30896034010819,396.3889374768081,149.57155350741064,0,1,2,Electronic Check,False
8ac17827-b651-40f3-92fd-3687431ae05e,Female,51,North,Basic,Month-to-Month,49,47.80012540481003,2342.2061448356917,49.5595271089489,453.4958350526329,32.0790315426499,0,1,4,Mailed Check,False
23fb111e-7fd4-4548-9da9-0f1cdddaec5b,Male,45,West,Standard,Month-to-Month,22,64.06418416309597,1409.4120515881114,161.03482488216446,395.5758099017692,14.784423820773817,0,0,0,Bank Transfer,False
15b3d427-6a34-432a-9935-41a3ed719095,Female,48,West,Standard,Month-to-Month,25,56.95350687476756,1423.837671869189,71.15994964268444,421.3877068520691,141.5363739215788,1,0,0,Bank Transfer,True
289f4a99-43a4-42e2-894c-1de22e20a3d9,Female,36,West,Basic,Month-to-Month,22,42.05428312761023,925.1942288074251,217.14607881738158,143.52790770210305,14.282323213403425,1,1,2,Mailed Check,False
564fe4a2-3e2e-4a3f-bc73-a01a76127928,Male,48,East,Standard,One Year,13,76.82640281973681,998.7432366565786,18.324579629295947,234.2027238795166,83.57321807674003,1,0,2,Bank Transfer,False
ab6b2a5d-1c84-4826-91a0-e1b496e7ea72,Male,34,North,Basic,Month-to-Month,30,47.38012744821302,1421.4038234463906,41.216347115478804,14.373940417453712,265.1595618151992,0,0,1,Bank Transfer,False
3d674e1e-54bf-482f-b766-6f8d294b82ee,Male,40,Central,Premium,Month-to-Month,11,97.24535758726847,1069.6989334599532,28.71659798998825,183.49034123256763,123.7061353215592,0,0,0,Mailed Check,False
87313007-8a75-46a3-8b16-47d5b2b86c97,Male,35,West,Basic,Month-to-Month,16,30.783838214658083,492.5414114345293,14.148518314880533,129.36680801418888,71.16410944945167,0,0,2,Credit Card,False
eeab7272-1244-44fe-a7d7-1123de51934f,Female,33,East,Standard,One Year,15,77.87772252795804,1168.1658379193707,104.85363617546892,85.31384637822315,121.99286454630807,0,0,2,Mailed Check,False
